"cd_mun","date","dengue"
150010,"2019-01-06",0
150080,"2019-01-06",0.19
150110,"2019-01-06",0
150120,"2019-01-06",0
150130,"2019-01-06",0
150140,"2019-01-06",0.07
150150,"2019-01-06",0
150178,"2019-01-06",0
150210,"2019-01-06",0
150309,"2019-01-06",0
150330,"2019-01-06",0
150380,"2019-01-06",1.69
150400,"2019-01-06",0
150442,"2019-01-06",0
150460,"2019-01-06",0
150470,"2019-01-06",2.44
150506,"2019-01-06",6.59
150520,"2019-01-06",0
150635,"2019-01-06",4.74
150795,"2019-01-06",0
150810,"2019-01-06",0
150010,"2019-01-13",0
150080,"2019-01-13",0.19
150110,"2019-01-13",0
150120,"2019-01-13",0
150130,"2019-01-13",0.8
150140,"2019-01-13",0.07
150150,"2019-01-13",0
150178,"2019-01-13",0
150210,"2019-01-13",0
150309,"2019-01-13",0
150330,"2019-01-13",0
150380,"2019-01-13",1.69
150400,"2019-01-13",0
150442,"2019-01-13",0
150460,"2019-01-13",0
150470,"2019-01-13",9.74
150506,"2019-01-13",1.32
150520,"2019-01-13",0
150635,"2019-01-13",0
150795,"2019-01-13",0.94
150810,"2019-01-13",0
150010,"2019-01-20",0
150080,"2019-01-20",0
150110,"2019-01-20",0
150120,"2019-01-20",0
150130,"2019-01-20",1.6
150140,"2019-01-20",0
150150,"2019-01-20",0
150178,"2019-01-20",0
150210,"2019-01-20",0
150309,"2019-01-20",0
150330,"2019-01-20",0
150380,"2019-01-20",0
150400,"2019-01-20",0
150442,"2019-01-20",0
150460,"2019-01-20",0
150470,"2019-01-20",14.62
150506,"2019-01-20",2.63
150520,"2019-01-20",0
150635,"2019-01-20",0
150795,"2019-01-20",1.88
150810,"2019-01-20",0
150010,"2019-01-27",0
150080,"2019-01-27",0.19
150110,"2019-01-27",0
150120,"2019-01-27",0
150130,"2019-01-27",0
150140,"2019-01-27",0.07
150150,"2019-01-27",0
150178,"2019-01-27",0
150210,"2019-01-27",0
150309,"2019-01-27",0
150330,"2019-01-27",0
150380,"2019-01-27",0
150400,"2019-01-27",0
150442,"2019-01-27",0
150460,"2019-01-27",0
150470,"2019-01-27",7.31
150506,"2019-01-27",7.9
150520,"2019-01-27",0
150635,"2019-01-27",0
150795,"2019-01-27",0.94
150810,"2019-01-27",0
150010,"2019-02-03",0
150080,"2019-02-03",0
150110,"2019-02-03",0
150120,"2019-02-03",0
150130,"2019-02-03",0
150140,"2019-02-03",0
150150,"2019-02-03",0
150178,"2019-02-03",0
150210,"2019-02-03",1.45
150309,"2019-02-03",0
150330,"2019-02-03",0
150380,"2019-02-03",0
150400,"2019-02-03",0
150442,"2019-02-03",0
150460,"2019-02-03",0
150470,"2019-02-03",3.65
