"cd_mun","year_month","ndvi"
"1500107","2019-01",0.0183080880813832
"1500800","2019-01",0.0187910465819722
"1501105","2019-01",0.021106930928456
"1501204","2019-01",0.0203364404524285
"1501303","2019-01",0.0165026232783093
"1501402","2019-01",0.0140319908504207
"1501501","2019-01",0.0202647904191617
"1501782","2019-01",0.0200703654280435
"1502103","2019-01",0.0191402349619781
"1503093","2019-01",0.0200549680093423
"1503309","2019-01",0.0192648968609865
"1503804","2019-01",0.0203974559566342
"1504000","2019-01",0.0167876560999039
"1504422","2019-01",0.0181925196850394
"1504604","2019-01",0.0204378476420798
"1504703","2019-01",0.0213779959111159
"1505064","2019-01",0.01998210783629
"1505205","2019-01",0.0207146858587823
"1506351","2019-01",0.0206564561207378
"1507953","2019-01",0.0206219492415725
"1508100","2019-01",0.0178523208153318
"1500107","2019-02",0.0169647520590254
"1500800","2019-02",0.0190425855513308
"1501105","2019-02",0.0209704099821747
"1501204","2019-02",0.0204712755924077
"1501303","2019-02",0.0145716252808665
"1501402","2019-02",0.0123625188716726
"1501501","2019-02",0.0209958863126402
"1501782","2019-02",0.0197391050310402
"1502103","2019-02",0.0186518655709555
"1503093","2019-02",0.0198542182341734
"1503309","2019-02",0.01884752731357
"1503804","2019-02",0.0208773804326255
"1504000","2019-02",0.0159368305756234
"1504422","2019-02",0.0202927665920955
"1504604","2019-02",0.0201002485436893
"1504703","2019-02",0.0213185429474379
"1505064","2019-02",0.019938218702368
"1505205","2019-02",0.0200142892032156
"1506351","2019-02",0.0209770131353512
"1507953","2019-02",0.0209049821173104
"1508100","2019-02",0.0186458368976333
"1500107","2019-03",0.0150745353011568
"1500800","2019-03",0.0196996273291925
"1501105","2019-03",0.0209197420557843
"1501204","2019-03",0.0197254416858282
"1501303","2019-03",0.014782428172566
"1501402","2019-03",0.0136707925941336
"1501501","2019-03",0.0202595218800648
"1501782","2019-03",0.0194737218639737
"1502103","2019-03",0.0183573119989175
"1503093","2019-03",0.0200984075986635
"1503309","2019-03",0.0177707309273641
"1503804","2019-03",0.01881837596583
"1504000","2019-03",0.0170786327593488
"1504422","2019-03",0.0197482276119403
"1504604","2019-03",0.0192240231990232
"1504703","2019-03",0.020288901308072
"1505064","2019-03",0.0189143510275658
"1505205","2019-03",0.0207496189330124
"1506351","2019-03",0.0210923578050614
"1507953","2019-03",0.02077917383404
"1508100","2019-03",0.0178525705678171
"1500107","2019-04",0.0184671278998152
"1500800","2019-04",0.0192604465709729
"1501105","2019-04",0.0212554204967262
"1501204","2019-04",0.0205552262793752
"1501303","2019-04",0.0162625486028306
"1501402","2019-04",0.0136283598692901
"1501501","2019-04",0.0207830927051672
"1501782","2019-04",0.0210894974100059
