"CD_MUN","year_month","mean_NDVI"
"1500107","2021-01",0.0183103204277731
"1500800","2021-01",0.019579667721519
"1501105","2021-01",0.0206371251218016
"1501204","2021-01",0.0212561225609622
"1501303","2021-01",0.0160563161746768
"1501402","2021-01",0.0129927146627386
"1501501","2021-01",0.0212908481262327
"1501782","2021-01",0.019939753208758
"1502103","2021-01",0.0199361191771797
"1503093","2021-01",0.0200099166203446
"1503309","2021-01",0.0200862720360078
"1503804","2021-01",0.0199596005644198
"1504000","2021-01",0.0172947196323627
"1504422","2021-01",0.0203895611702128
"1504604","2021-01",0.0208249979320043
"1504703","2021-01",0.021764654358349
"1505064","2021-01",0.0195326009314989
"1505205","2021-01",0.0204805847392638
"1506351","2021-01",0.021645194745333
"1507953","2021-01",0.0214138151239251
"1508100","2021-01",0.0196484973375155
"1500107","2021-02",0.0181154539495247
"1500800","2021-02",0.0187022689768977
"1501105","2021-02",0.0210795794480255
"1501204","2021-02",0.0215107648211305
"1501303","2021-02",0.0160594107365793
"1501402","2021-02",0.0130925983506827
"1501501","2021-02",0.0206606886657102
"1501782","2021-02",0.0213615575022101
"1502103","2021-02",0.0195819471475133
"1503093","2021-02",0.0216845139898994
"1503309","2021-02",0.0192797723292469
"1503804","2021-02",0.0210318708609272
"1504000","2021-02",0.0166470764057538
"1504422","2021-02",0.0194068502824859
"1504604","2021-02",0.0207355266253627
"1504703","2021-02",0.0217912688728481
"1505064","2021-02",0.02056856176648
"1505205","2021-02",0.0208642434160579
"1506351","2021-02",0.0212710775047259
"1507953","2021-02",0.0212143002819267
"1508100","2021-02",0.0195611428571429
"1500107","2021-03",0.0179815402412824
"1500800","2021-03",0.0194314503816794
"1501105","2021-03",0.0210952550105347
"1501204","2021-03",0.0205189344496242
"1501303","2021-03",0.0157245403928984
"1501402","2021-03",0.0132342480422997
"1501501","2021-03",0.0204553182579564
"1501782","2021-03",0.0208567244890793
"1502103","2021-03",0.0192081991685997
"1503093","2021-03",0.0206861758351338
"1503309","2021-03",0.0193356269272078
"1503804","2021-03",0.0196145151890435
"1504000","2021-03",0.0168670096264241
"1504422","2021-03",0.0205160153256705
"1504604","2021-03",0.020319257031377
"1504703","2021-03",0.0221381295945325
"1505064","2021-03",0.019947691391123
"1505205","2021-03",0.0209657086466165
"1506351","2021-03",0.021380890768848
"1507953","2021-03",0.022491268342916
"1508100","2021-03",0.0184300660346036
"1500107","2021-04",0.0174189795438514
"1500800","2021-04",0.0193434017595308
"1501105","2021-04",0.0214613383447564
"1501204","2021-04",0.0207794192078957
"1501303","2021-04",0.0151038803801683
"1501402","2021-04",0.011593444918645
"1501501","2021-04",0.0209347307692308
"1501782","2021-04",0.0212027622072745
"1502103","2021-04",0.0192498109862607
"1503093","2021-04",0.0213739129058133
"1503309","2021-04",0.019222122335843
"1503804","2021-04",0.0207861121881866
"1504000","2021-04",0.0165577452500969
"1504422","2021-04",0.0201207914151576
"1504604","2021-04",0.0196275048037332
"1504703","2021-04",0.0212925492173166
"1505064","2021-04",0.0213662634604271
"1505205","2021-04",0.0210233954767726
"1506351","2021-04",0.0207984948002189
"1507953","2021-04",0.0214871117346097
"1508100","2021-04",0.0196113387443771
"1500107","2021-05",0.0190334061987665
"1500800","2021-05",0.0200978922716628
"1501105","2021-05",0.0215772369974523
