"","cd_mun","nm_mun","UF","temperature","year_month"
"1",1500107,"Abaetetuba","PA",32.2936086654663,"2021-12"
"2",1500800,"Ananindeua","PA",32.4564437866211,"2021-12"
"3",1501105,"Bagre","PA",32.9882422054515,"2021-12"
"4",1501204,"Baião","PA",32.6434240341187,"2021-12"
"5",1501303,"Barcarena","PA",32.069863319397,"2021-12"
"6",1501402,"Belém","PA",32.099739074707,"2021-12"
"7",1501501,"Benevides","PA",32.6778945922852,"2021-12"
"8",1501782,"Breu Branco","PA",33.0722626194809,"2021-12"
"9",1502103,"Cametá","PA",32.0570685863495,"2021-12"
"10",1503093,"Goianésia do Pará","PA",32.901041359737,"2021-12"
"11",1503309,"Igarapé-Miri","PA",32.2864856719971,"2021-12"
"12",1503804,"Jacundá","PA",31.7687824249268,"2021-12"
"13",1504000,"Limoeiro do Ajuru","PA",31.860418510437,"2021-12"
"14",1504422,"Marituba","PA",32.5856857299805,"2021-12"
"15",1504604,"Mocajuba","PA",32.4170265197754,"2021-12"
"16",1504703,"Moju","PA",33.2444914696922,"2021-12"
"17",1505064,"Novo Repartimento","PA",31.7147298828373,"2021-12"
"18",1505205,"Oeiras do Pará","PA",32.7703835623605,"2021-12"
"19",1506351,"Santa Bárbara do Pará","PA",32.4977645874023,"2021-12"
"20",1507953,"Tailândia","PA",33.411765127471,"2021-12"
"21",1508100,"Tucuruí","PA",32.3087117936876,"2021-12"
"22",1500107,"Abaetetuba","PA",32.5795455932617,"2021-11"
"23",1500800,"Ananindeua","PA",32.1241588592529,"2021-11"
"24",1501105,"Bagre","PA",33.325798034668,"2021-11"
"25",1501204,"Baião","PA",32.568736076355,"2021-11"
"26",1501303,"Barcarena","PA",32.2421652475993,"2021-11"
"27",1501402,"Belém","PA",31.1099185943604,"2021-11"
"28",1501501,"Benevides","PA",32.5091018676758,"2021-11"
"29",1501782,"Breu Branco","PA",32.5687116565126,"2021-11"
"30",1502103,"Cametá","PA",32.7024269104004,"2021-11"
"31",1503093,"Goianésia do Pará","PA",32.5352989394089,"2021-11"
"32",1503309,"Igarapé-Miri","PA",32.9072982788086,"2021-11"
"33",1503804,"Jacundá","PA",31.734336344401,"2021-11"
"34",1504000,"Limoeiro do Ajuru","PA",32.4044052124023,"2021-11"
"35",1504422,"Marituba","PA",32.4114532470703,"2021-11"
"36",1504604,"Mocajuba","PA",32.9543113708496,"2021-11"
"37",1504703,"Moju","PA",33.4281071407694,"2021-11"
"38",1505064,"Novo Repartimento","PA",32.123668096899,"2021-11"
"39",1505205,"Oeiras do Pará","PA",33.1162327357701,"2021-11"
"40",1506351,"Santa Bárbara do Pará","PA",31.7279148101807,"2021-11"
"41",1507953,"Tailândia","PA",34.1545380101059,"2021-11"
"42",1508100,"Tucuruí","PA",31.8163492414686,"2021-11"
"43",1500107,"Abaetetuba","PA",32.8777572631836,"2021-10"
"44",1500800,"Ananindeua","PA",32.7686386108398,"2021-10"
"45",1501105,"Bagre","PA",34.8888105504653,"2021-10"
"46",1501204,"Baião","PA",34.4499311447144,"2021-10"
"47",1501303,"Barcarena","PA",32.8450393676758,"2021-10"
"48",1501402,"Belém","PA",31.9634943008423,"2021-10"
"49",1501501,"Benevides","PA",33.0894088745117,"2021-10"
"50",1501782,"Breu Branco","PA",34.9155816742868,"2021-10"
"51",1502103,"Cametá","PA",34.0201301574707,"2021-10"
"52",1503093,"Goianésia do Pará","PA",35.1013638726596,"2021-10"
"53",1503309,"Igarapé-Miri","PA",33.541384379069,"2021-10"
"54",1503804,"Jacundá","PA",34.2938725789388,"2021-10"
"55",1504000,"Limoeiro do Ajuru","PA",33.0981948852539,"2021-10"
"56",1504422,"Marituba","PA",33.0121612548828,"2021-10"
"57",1504604,"Mocajuba","PA",34.2738800048828,"2021-10"
"58",1504703,"Moju","PA",34.8131766520755,"2021-10"
"59",1505064,"Novo Repartimento","PA",34.3155766308792,"2021-10"
"60",1505205,"Oeiras do Pará","PA",34.7324665614537,"2021-10"
"61",1506351,"Santa Bárbara do Pará","PA",32.4133529663086,"2021-10"
"62",1507953,"Tailândia","PA",35.9136146776604,"2021-10"
"63",1508100,"Tucuruí","PA",34.1970782809787,"2021-10"
"64",1500107,"Abaetetuba","PA",31.7760711669922,"2021-09"
"65",1500800,"Ananindeua","PA",31.7473189036051,"2021-09"
"66",1501105,"Bagre","PA",34.0132307164809,"2021-09"
"67",1501204,"Baião","PA",33.9079246520996,"2021-09"
"68",1501303,"Barcarena","PA",31.5367269515991,"2021-09"
"69",1501402,"Belém","PA",30.8209018707275,"2021-09"
"70",1501501,"Benevides","PA",32.1293258666992,"2021-09"
"71",1501782,"Breu Branco","PA",34.5807326345733,"2021-09"
"72",1502103,"Cametá","PA",32.8874791463216,"2021-09"
"73",1503093,"Goianésia do Pará","PA",35.1901421382509,"2021-09"
"74",1503309,"Igarapé-Miri","PA",32.5049549102783,"2021-09"
"75",1503804,"Jacundá","PA",34.4573816935221,"2021-09"
"76",1504000,"Limoeiro do Ajuru","PA",32.4135789871216,"2021-09"
"77",1504422,"Marituba","PA",32.012131690979,"2021-09"
"78",1504604,"Mocajuba","PA",33.2563362121582,"2021-09"
"79",1504703,"Moju","PA",34.1057946648396,"2021-09"
"80",1505064,"Novo Repartimento","PA",34.5915398946623,"2021-09"
"81",1505205,"Oeiras do Pará","PA",33.7383172171456,"2021-09"
"82",1506351,"Santa Bárbara do Pará","PA",31.50217628479,"2021-09"
"83",1507953,"Tailândia","PA",35.3685152458422,"2021-09"
"84",1508100,"Tucuruí","PA",34.2165434095595,"2021-09"
"85",1500107,"Abaetetuba","PA",32.2180229187012,"2021-08"
"86",1500800,"Ananindeua","PA",31.5853824615479,"2021-08"
"87",1501105,"Bagre","PA",32.9266245224897,"2021-08"
"88",1501204,"Baião","PA",33.6657056808472,"2021-08"
"89",1501303,"Barcarena","PA",31.8802525202433,"2021-08"
"90",1501402,"Belém","PA",31.0933017730713,"2021-08"
"91",1501501,"Benevides","PA",31.8338871002197,"2021-08"
"92",1501782,"Breu Branco","PA",34.9381017973929,"2021-08"
"93",1502103,"Cametá","PA",32.5325469970703,"2021-08"
"94",1503093,"Goianésia do Pará","PA",35.5968909428037,"2021-08"
"95",1503309,"Igarapé-Miri","PA",32.9099269866943,"2021-08"
"96",1503804,"Jacundá","PA",35.2239608764648,"2021-08"
"97",1504000,"Limoeiro do Ajuru","PA",31.8230503082275,"2021-08"
"98",1504422,"Marituba","PA",31.764627456665,"2021-08"
"99",1504604,"Mocajuba","PA",33.0273971557617,"2021-08"
"100",1504703,"Moju","PA",34.1864203869457,"2021-08"
"101",1505064,"Novo Repartimento","PA",35.1117534482382,"2021-08"
"102",1505205,"Oeiras do Pará","PA",32.6652178764343,"2021-08"
"103",1506351,"Santa Bárbara do Pará","PA",31.298303604126,"2021-08"
"104",1507953,"Tailândia","PA",34.9729870882901,"2021-08"
"105",1508100,"Tucuruí","PA",34.1734051174588,"2021-08"
"106",1500107,"Abaetetuba","PA",32.068529510498,"2021-07"
"107",1500800,"Ananindeua","PA",31.5262597401937,"2021-07"
"108",1501105,"Bagre","PA",32.1313224119299,"2021-07"
"109",1501204,"Baião","PA",32.6674928665161,"2021-07"
"110",1501303,"Barcarena","PA",31.8846368789673,"2021-07"
"111",1501402,"Belém","PA",31.1095676422119,"2021-07"
"112",1501501,"Benevides","PA",31.6201419830322,"2021-07"
"113",1501782,"Breu Branco","PA",33.7725198919123,"2021-07"
"114",1502103,"Cametá","PA",32.0550988515218,"2021-07"
"115",1503093,"Goianésia do Pará","PA",34.7209259559368,"2021-07"
"116",1503309,"Igarapé-Miri","PA",32.3859280904134,"2021-07"
"117",1503804,"Jacundá","PA",34.2021957397461,"2021-07"
"118",1504000,"Limoeiro do Ajuru","PA",31.4800479888916,"2021-07"
"119",1504422,"Marituba","PA",31.6133060455322,"2021-07"
"120",1504604,"Mocajuba","PA",32.3097267150879,"2021-07"
"121",1504703,"Moju","PA",33.2618783225476,"2021-07"
"122",1505064,"Novo Repartimento","PA",33.4664121178108,"2021-07"
"123",1505205,"Oeiras do Pará","PA",32.1105449540274,"2021-07"
"124",1506351,"Santa Bárbara do Pará","PA",31.3521671295166,"2021-07"
"125",1507953,"Tailândia","PA",34.2682871963039,"2021-07"
"126",1508100,"Tucuruí","PA",32.8275748358832,"2021-07"
"127",1500107,"Abaetetuba","PA",30.6687686920166,"2021-06"
"128",1500800,"Ananindeua","PA",30.7458845774333,"2021-06"
"129",1501105,"Bagre","PA",31.0227864209343,"2021-06"
"130",1501204,"Baião","PA",30.8612251281738,"2021-06"
"131",1501303,"Barcarena","PA",30.7595615386963,"2021-06"
"132",1501402,"Belém","PA",30.1427555084229,"2021-06"
"133",1501501,"Benevides","PA",30.9493503570557,"2021-06"
"134",1501782,"Breu Branco","PA",31.2101335814505,"2021-06"
"135",1502103,"Cametá","PA",31.1437816619873,"2021-06"
"136",1503093,"Goianésia do Pará","PA",32.0274714437024,"2021-06"
"137",1503309,"Igarapé-Miri","PA",31.0396264394124,"2021-06"
"138",1503804,"Jacundá","PA",32.2411834716797,"2021-06"
"139",1504000,"Limoeiro do Ajuru","PA",30.9734560012817,"2021-06"
"140",1504422,"Marituba","PA",30.9003009796143,"2021-06"
"141",1504604,"Mocajuba","PA",31.0158672332764,"2021-06"
"142",1504703,"Moju","PA",31.2029821637651,"2021-06"
