"cd_mun","nm_mun","precipitation","date"
"1500107","Abaetetuba",26.8820915222168,"2019-12-29"
"1500800","Ananindeua",27.458324432373,"2019-12-29"
"1501105","Bagre",62.071346282959,"2019-12-29"
"1501204","Baião",94.5364303588867,"2019-12-29"
"1501303","Barcarena",26.2201595306396,"2019-12-29"
"1501402","Belém",29.4175243377686,"2019-12-29"
"1501501","Benevides",23.8265686035156,"2019-12-29"
"1501782","Breu Branco",71.4235610961914,"2019-12-29"
"1502103","Cametá",30.0735454559326,"2019-12-29"
"1503093","Goianésia do Pará",89.2395629882812,"2019-12-29"
"1503309","Igarapé-Miri",27.6799564361572,"2019-12-29"
"1503804","Jacundá",78.0074157714844,"2019-12-29"
"1504000","Limoeiro do Ajuru",29.9405670166016,"2019-12-29"
"1504422","Marituba",25.9010143280029,"2019-12-29"
"1504604","Mocajuba",30.814868927002,"2019-12-29"
"1504703","Moju",94.0390396118164,"2019-12-29"
"1505064","Novo Repartimento",171.635223388672,"2019-12-29"
"1505205","Oeiras do Pará",29.3877811431885,"2019-12-29"
"1506351","Santa Bárbara do Pará",25.3306903839111,"2019-12-29"
"1507953","Tailândia",76.7512893676758,"2019-12-29"
"1508100","Tucuruí",107.352325439453,"2019-12-29"
"1500107","Abaetetuba",16.4184818267822,"2019-12-22"
"1500800","Ananindeua",16.9344654083252,"2019-12-22"
"1501105","Bagre",20.8484954833984,"2019-12-22"
"1501204","Baião",21.5364723205566,"2019-12-22"
"1501303","Barcarena",15.8141775131226,"2019-12-22"
"1501402","Belém",13.2900447845459,"2019-12-22"
"1501501","Benevides",15.6607780456543,"2019-12-22"
"1501782","Breu Branco",21.8525714874268,"2019-12-22"
"1502103","Cametá",28.5742931365967,"2019-12-22"
"1503093","Goianésia do Pará",25.1390571594238,"2019-12-22"
"1503309","Igarapé-Miri",22.1686706542969,"2019-12-22"
"1503804","Jacundá",32.7811813354492,"2019-12-22"
"1504000","Limoeiro do Ajuru",20.9042778015137,"2019-12-22"
"1504422","Marituba",16.9344654083252,"2019-12-22"
"1504604","Mocajuba",16.8600883483887,"2019-12-22"
"1504703","Moju",22.0664024353027,"2019-12-22"
"1505064","Novo Repartimento",32.3070373535156,"2019-12-22"
"1505205","Oeiras do Pará",19.6445369720459,"2019-12-22"
"1506351","Santa Bárbara do Pará",15.0657691955566,"2019-12-22"
"1507953","Tailândia",13.4899301528931,"2019-12-22"
"1508100","Tucuruí",16.6695003509521,"2019-12-22"
"1500107","Abaetetuba",13.8897008895874,"2019-12-15"
"1500800","Ananindeua",25.5760154724121,"2019-12-15"
"1501105","Bagre",13.5550098419189,"2019-12-15"
"1501204","Baião",15.1819820404053,"2019-12-15"
"1501303","Barcarena",15.5306186676025,"2019-12-15"
"1501402","Belém",19.6166439056396,"2019-12-15"
"1501501","Benevides",25.0042514801025,"2019-12-15"
"1501782","Breu Branco",15.5352668762207,"2019-12-15"
"1502103","Cametá",14.256932258606,"2019-12-15"
"1503093","Goianésia do Pará",21.2064304351807,"2019-12-15"
"1503309","Igarapé-Miri",14.4986534118652,"2019-12-15"
"1503804","Jacundá",19.8583679199219,"2019-12-15"
"1504000","Limoeiro do Ajuru",11.2540044784546,"2019-12-15"
"1504422","Marituba",25.5760154724121,"2019-12-15"
"1504604","Mocajuba",14.2894716262817,"2019-12-15"
"1504703","Moju",15.5073766708374,"2019-12-15"
"1505064","Novo Repartimento",32.3721122741699,"2019-12-15"
"1505205","Oeiras do Pará",13.8804035186768,"2019-12-15"
"1506351","Santa Bárbara do Pará",25.0739765167236,"2019-12-15"
"1507953","Tailândia",14.6845932006836,"2019-12-15"
"1508100","Tucuruí",18.3383102416992,"2019-12-15"
"1500107","Abaetetuba",10.4823541641235,"2019-12-08"
"1500800","Ananindeua",14.4893560409546,"2019-12-08"
