"","cd_mun","cases","year_month"
"181",150400,0,"2021-04"
"182",150442,0.74,"2021-04"
"183",150460,0,"2021-04"
"184",150470,0,"2021-04"
"185",150506,5.1,"2021-04"
"186",150520,0,"2021-04"
"187",150635,0,"2021-04"
"188",150795,0,"2021-04"
"189",150810,2.57,"2021-04"
"190",150010,0,"2021-03"
"191",150080,0.19,"2021-03"
"192",150110,0,"2021-03"
"193",150120,0,"2021-03"
"194",150130,0,"2021-03"
"195",150140,3.98,"2021-03"
"196",150150,12.35,"2021-03"
"197",150178,0,"2021-03"
"198",150210,0,"2021-03"
"199",150309,0,"2021-03"
"200",150330,0,"2021-03"
"201",150380,0,"2021-03"
"202",150400,0,"2021-03"
"203",150442,0,"2021-03"
"204",150460,0,"2021-03"
"205",150470,1.19,"2021-03"
"206",150506,19.11,"2021-03"
"207",150520,0,"2021-03"
"208",150635,0,"2021-03"
"209",150795,0,"2021-03"
"210",150810,0,"2021-03"
"211",150010,0,"2021-02"
"212",150080,0.37,"2021-02"
"213",150110,0,"2021-02"
"214",150120,0,"2021-02"
"215",150130,0,"2021-02"
"216",150140,4.85,"2021-02"
"217",150150,0,"2021-02"
"218",150178,0,"2021-02"
"219",150210,0,"2021-02"
"220",150309,0,"2021-02"
"221",150330,0,"2021-02"
"222",150380,0,"2021-02"
"223",150400,0,"2021-02"
"224",150442,0.74,"2021-02"
"225",150460,3.13,"2021-02"
"226",150470,1.19,"2021-02"
"227",150506,40.77,"2021-02"
"228",150520,0,"2021-02"
"229",150635,0,"2021-02"
"230",150795,0.9,"2021-02"
"231",150810,0,"2021-02"
"232",150010,0,"2021-01"
"233",150080,0,"2021-01"
"234",150110,0,"2021-01"
"235",150120,0,"2021-01"
"236",150130,0,"2021-01"
"237",150140,4.78,"2021-01"
"238",150150,1.54,"2021-01"
"239",150178,0,"2021-01"
"240",150210,2.13,"2021-01"
"241",150309,0,"2021-01"
"242",150330,0,"2021-01"
"243",150380,1.65,"2021-01"
"244",150400,0,"2021-01"
"245",150442,0,"2021-01"
"246",150460,0,"2021-01"
"247",150470,0,"2021-01"
"248",150506,14.01,"2021-01"
"249",150520,0,"2021-01"
"250",150635,0,"2021-01"
"251",150795,0,"2021-01"
"252",150810,0,"2021-01"
