"cd_mun","date","dengue"
150795,"2020-03-09",0
150810,"2020-03-09",0.87
150010,"2020-03-16",0
150080,"2020-03-16",0
150110,"2020-03-16",0
150120,"2020-03-16",0
150130,"2020-03-16",0
150140,"2020-03-16",0.4
150150,"2020-03-16",0
150178,"2020-03-16",1.49
150210,"2020-03-16",0
150309,"2020-03-16",0
150330,"2020-03-16",0
150380,"2020-03-16",0
150400,"2020-03-16",0
150442,"2020-03-16",0
150460,"2020-03-16",6.34
150470,"2020-03-16",0
150506,"2020-03-16",5.18
150520,"2020-03-16",0
150635,"2020-03-16",0
150795,"2020-03-16",0
150810,"2020-03-16",0
150010,"2020-03-23",0
150080,"2020-03-23",0
150110,"2020-03-23",0
150120,"2020-03-23",0
150130,"2020-03-23",0
150140,"2020-03-23",0.2
150150,"2020-03-23",0
150178,"2020-03-23",0
150210,"2020-03-23",0
150309,"2020-03-23",0
150330,"2020-03-23",0
150380,"2020-03-23",0
150400,"2020-03-23",0
150442,"2020-03-23",0
150460,"2020-03-23",0
150470,"2020-03-23",0
150506,"2020-03-23",0
150520,"2020-03-23",0
150635,"2020-03-23",0
150795,"2020-03-23",0
150810,"2020-03-23",0
150010,"2020-03-30",0
150080,"2020-03-30",0
150110,"2020-03-30",0
150120,"2020-03-30",0
150130,"2020-03-30",0
150140,"2020-03-30",0.27
150150,"2020-03-30",0
150178,"2020-03-30",0
150210,"2020-03-30",0
150309,"2020-03-30",0
150330,"2020-03-30",0
150380,"2020-03-30",0
150400,"2020-03-30",0
150442,"2020-03-30",0
150460,"2020-03-30",0
150470,"2020-03-30",0
150506,"2020-03-30",0
150520,"2020-03-30",0
150635,"2020-03-30",0
150795,"2020-03-30",0
150810,"2020-03-30",0
150010,"2020-04-06",0
150080,"2020-04-06",0.19
150110,"2020-04-06",0
150120,"2020-04-06",0
150130,"2020-04-06",0
150140,"2020-04-06",0.13
150150,"2020-04-06",0
150178,"2020-04-06",0
150210,"2020-04-06",2.15
150309,"2020-04-06",0
150330,"2020-04-06",0
150380,"2020-04-06",0
150400,"2020-04-06",0
150442,"2020-04-06",0
150460,"2020-04-06",6.34
150470,"2020-04-06",0
150506,"2020-04-06",0
150520,"2020-04-06",0
150635,"2020-04-06",0
150795,"2020-04-06",0
150810,"2020-04-06",0.87
150010,"2020-04-13",0
150080,"2020-04-13",0
150110,"2020-04-13",0
150120,"2020-04-13",0
150130,"2020-04-13",0
150140,"2020-04-13",0.13
150150,"2020-04-13",0
150178,"2020-04-13",0
150210,"2020-04-13",0.72
150309,"2020-04-13",0
150330,"2020-04-13",0
150380,"2020-04-13",0
150400,"2020-04-13",0
150442,"2020-04-13",0
150460,"2020-04-13",0
150470,"2020-04-13",0
150506,"2020-04-13",0
150520,"2020-04-13",0
150635,"2020-04-13",0
150795,"2020-04-13",0.92
150810,"2020-04-13",0
150010,"2020-04-20",0
150080,"2020-04-20",0
150110,"2020-04-20",0
150120,"2020-04-20",0
150130,"2020-04-20",0
150140,"2020-04-20",0.07
150150,"2020-04-20",0
150178,"2020-04-20",0
150210,"2020-04-20",0
150309,"2020-04-20",0
150330,"2020-04-20",0
150380,"2020-04-20",1.67
150400,"2020-04-20",0
150442,"2020-04-20",0
150460,"2020-04-20",6.34
150470,"2020-04-20",0
150506,"2020-04-20",1.3
150520,"2020-04-20",0
150635,"2020-04-20",0
150795,"2020-04-20",0
150810,"2020-04-20",0
150010,"2020-04-27",0
150080,"2020-04-27",0
150110,"2020-04-27",0
150120,"2020-04-27",0
150130,"2020-04-27",0
150140,"2020-04-27",0.07
150150,"2020-04-27",0
150178,"2020-04-27",0
150210,"2020-04-27",0
150309,"2020-04-27",0
150330,"2020-04-27",0
150380,"2020-04-27",3.34
150400,"2020-04-27",0
150442,"2020-04-27",0
150460,"2020-04-27",3.17
150470,"2020-04-27",0
150506,"2020-04-27",1.3
150520,"2020-04-27",0
150635,"2020-04-27",0
150795,"2020-04-27",0
150810,"2020-04-27",0
150010,"2020-05-04",0
150080,"2020-05-04",0
150110,"2020-05-04",0
150120,"2020-05-04",0
150130,"2020-05-04",0
150140,"2020-05-04",0
150150,"2020-05-04",0
150178,"2020-05-04",0
150210,"2020-05-04",0
150309,"2020-05-04",0
150330,"2020-05-04",0
150380,"2020-05-04",3.34
150400,"2020-05-04",0
150442,"2020-05-04",0
150460,"2020-05-04",0
150470,"2020-05-04",0
150506,"2020-05-04",5.18
150520,"2020-05-04",0
150635,"2020-05-04",0
150795,"2020-05-04",0
150810,"2020-05-04",0
150010,"2020-05-11",0
150080,"2020-05-11",0
150110,"2020-05-11",0
150120,"2020-05-11",0
150130,"2020-05-11",0
150140,"2020-05-11",0.07
150150,"2020-05-11",0
150178,"2020-05-11",0
150210,"2020-05-11",0
150309,"2020-05-11",0
150330,"2020-05-11",0
