"cd_mun","date","ndvi"
"1501501","2019-02-19",NA
"1501782","2019-02-19",NA
"1502103","2019-02-19",NA
"1503093","2019-02-19",NA
"1503309","2019-02-19",NA
"1503804","2019-02-19",NA
"1504000","2019-02-19",NA
"1504422","2019-02-19",NA
"1504604","2019-02-19",NA
"1504703","2019-02-19",NA
"1505064","2019-02-19",NA
"1505205","2019-02-19",NA
"1506351","2019-02-19",NA
"1507953","2019-02-19",NA
"1508100","2019-02-19",NA
"1500107","2019-02-26",NA
"1500800","2019-02-26",NA
"1501105","2019-02-26",NA
"1501204","2019-02-26",NA
"1501303","2019-02-26",NA
"1501402","2019-02-26",NA
"1501501","2019-02-26",NA
"1501782","2019-02-26",NA
"1502103","2019-02-26",NA
"1503093","2019-02-26",NA
"1503309","2019-02-26",NA
"1503804","2019-02-26",NA
"1504000","2019-02-26",NA
"1504422","2019-02-26",NA
"1504604","2019-02-26",NA
"1504703","2019-02-26",NA
"1505064","2019-02-26",NA
"1505205","2019-02-26",NA
"1506351","2019-02-26",NA
"1507953","2019-02-26",NA
"1508100","2019-02-26",NA
"1500107","2019-03-05",0.0128539202508961
"1500800","2019-03-05",0.0197984787018256
"1501105","2019-03-05",0.0210342324970769
"1501204","2019-03-05",0.0198796211731412
"1501303","2019-03-05",0.016989471805853
"1501402","2019-03-05",0.0161836530442035
"1501501","2019-03-05",0.0198704663212435
"1501782","2019-03-05",0.0191810402245089
"1502103","2019-03-05",0.0183320079376746
"1503093","2019-03-05",0.0197328445036965
"1503309","2019-03-05",0.0177402969820849
"1503804","2019-03-05",0.0183977307366638
"1504000","2019-03-05",0.015901528399801
"1504422","2019-03-05",0.0192871621621622
"1504604","2019-03-05",0.0192496092528915
"1504703","2019-03-05",0.0203364692811243
"1505064","2019-03-05",0.0183842149803053
"1505205","2019-03-05",0.0209479060383341
"1506351","2019-03-05",0.0198528865295289
"1507953","2019-03-05",0.0197460999281093
"1508100","2019-03-05",0.0181634963862994
"1500107","2019-03-12",NA
"1500800","2019-03-12",NA
"1501105","2019-03-12",NA
"1501204","2019-03-12",NA
"1501303","2019-03-12",NA
"1501402","2019-03-12",NA
"1501501","2019-03-12",NA
"1501782","2019-03-12",NA
"1502103","2019-03-12",NA
"1503093","2019-03-12",NA
"1503309","2019-03-12",NA
"1503804","2019-03-12",NA
"1504000","2019-03-12",NA
"1504422","2019-03-12",NA
"1504604","2019-03-12",NA
"1504703","2019-03-12",NA
"1505064","2019-03-12",NA
"1505205","2019-03-12",NA
"1506351","2019-03-12",NA
"1507953","2019-03-12",NA
"1508100","2019-03-12",NA
"1500107","2019-03-19",0.0147646912039925
"1500800","2019-03-19",0.0198231082917988
"1501105","2019-03-19",0.0189327239090217
"1501204","2019-03-19",0.0187101554974542
"1501303","2019-03-19",0.0141335189768977
"1501402","2019-03-19",0.0135351970335902
"1501501","2019-03-19",0.0206365343347639
"1501782","2019-03-19",0.0196014829561614
"1502103","2019-03-19",0.0187178424549193
"1503093","2019-03-19",0.0204721218387984
"1503309","2019-03-19",0.0168270257719991
"1503804","2019-03-19",0.019239263803681
"1504000","2019-03-19",0.0171862271468144
"1504422","2019-03-19",0.0200858757062147
"1504604","2019-03-19",0.0182401215805471
"1504703","2019-03-19",0.0201058777336221
"1505064","2019-03-19",0.0192328283303535
"1505205","2019-03-19",0.0191972787406849
"1506351","2019-03-19",0.0212826985854189
"1507953","2019-03-19",0.0212465219239215
"1508100","2019-03-19",0.017146993689725
"1500107","2019-03-26",NA
"1500800","2019-03-26",NA
"1501105","2019-03-26",NA
"1501204","2019-03-26",NA
"1501303","2019-03-26",NA
"1501402","2019-03-26",NA
"1501501","2019-03-26",NA
"1501782","2019-03-26",NA
"1502103","2019-03-26",NA
"1503093","2019-03-26",NA
"1503309","2019-03-26",NA
"1503804","2019-03-26",NA
"1504000","2019-03-26",NA
"1504422","2019-03-26",NA
"1504604","2019-03-26",NA
"1504703","2019-03-26",NA
"1505064","2019-03-26",NA
"1505205","2019-03-26",NA
"1506351","2019-03-26",NA
"1507953","2019-03-26",NA
"1508100","2019-03-26",NA
"1500107","2019-04-02",0.0137268925291636
"1500800","2019-04-02",0.0179943298969072
"1501105","2019-04-02",0.0203886821705426
"1501204","2019-04-02",0.0190627655759749
"1501303","2019-04-02",0.0161356872635561
"1501402","2019-04-02",0.0148588920686836
"1501501","2019-04-02",0.0195667697063369
"1501782","2019-04-02",0.0188890889830508
"1502103","2019-04-02",0.0187712069896432
"1503093","2019-04-02",0.019874223130535
"1503309","2019-04-02",0.018046743224621
"1503804","2019-04-02",0.0194989824657036
"1504000","2019-04-02",0.0165004154999548
"1504422","2019-04-02",0.0193566037735849
"1504604","2019-04-02",0.0190596964145512
"1504703","2019-04-02",0.0197320258076581
"1505064","2019-04-02",0.0198117877666983
"1505205","2019-04-02",0.0198284484124888
"1506351","2019-04-02",0.020116169544741
"1507953","2019-04-02",0.0202281329535814
"1508100","2019-04-02",0.0179420601139415
"1500107","2019-04-09",NA
"1500800","2019-04-09",NA
"1501105","2019-04-09",NA
"1501204","2019-04-09",NA
"1501303","2019-04-09",NA
"1501402","2019-04-09",NA
"1501501","2019-04-09",NA
"1501782","2019-04-09",NA
"1502103","2019-04-09",NA
"1503093","2019-04-09",NA
"1503309","2019-04-09",NA
"1503804","2019-04-09",NA
"1504000","2019-04-09",NA
"1504422","2019-04-09",NA
"1504604","2019-04-09",NA
"1504703","2019-04-09",NA
"1505064","2019-04-09",NA
"1505205","2019-04-09",NA
"1506351","2019-04-09",NA
