"cd_mun","nm_mun","temperature","date"
"1500107","Abaetetuba",32.0434869766235,"2020-12-27"
"1500800","Ananindeua",31.6227868398031,"2020-12-27"
"1501105","Bagre",31.7493503794951,"2020-12-27"
"1501204","Baião",32.0204684734344,"2020-12-27"
"1501303","Barcarena",31.6777127583822,"2020-12-27"
"1501402","Belém",30.7779636383057,"2020-12-27"
"1501501","Benevides",31.9519281387329,"2020-12-27"
"1501782","Breu Branco",31.9167505322081,"2020-12-27"
"1502103","Cametá",31.9217758178711,"2020-12-27"
"1503093","Goianésia do Pará",31.7759620074568,"2020-12-27"
"1503309","Igarapé-Miri",32.2910246531169,"2020-12-27"
"1503804","Jacundá",30.9774173736572,"2020-12-27"
"1504000","Limoeiro do Ajuru",31.4453037261963,"2020-12-27"
"1504422","Marituba",31.8654952049255,"2020-12-27"
"1504604","Mocajuba",32.349006652832,"2020-12-27"
"1504703","Moju",32.6928355257276,"2020-12-27"
"1505064","Novo Repartimento",30.8666758808663,"2020-12-27"
"1505205","Oeiras do Pará",31.8644957542419,"2020-12-27"
"1506351","Santa Bárbara do Pará",31.2872409820557,"2020-12-27"
"1507953","Tailândia",32.5902772383256,"2020-12-27"
"1508100","Tucuruí",30.9771535661485,"2020-12-27"
"1500107","Abaetetuba",31.8371334075928,"2020-12-20"
"1500800","Ananindeua",31.8183733622233,"2020-12-20"
"1501105","Bagre",31.8010734109318,"2020-12-20"
"1501204","Baião",31.8628369569778,"2020-12-20"
"1501303","Barcarena",31.7671292622884,"2020-12-20"
"1501402","Belém",30.7451725006104,"2020-12-20"
"1501501","Benevides",32.3547439575195,"2020-12-20"
"1501782","Breu Branco",31.4389856511896,"2020-12-20"
"1502103","Cametá",31.4222977956136,"2020-12-20"
"1503093","Goianésia do Pará",31.3610101897141,"2020-12-20"
"1503309","Igarapé-Miri",31.8968358357747,"2020-12-20"
"1503804","Jacundá",30.6816776275635,"2020-12-20"
"1504000","Limoeiro do Ajuru",31.2068515777588,"2020-12-20"
"1504422","Marituba",32.1799550056458,"2020-12-20"
"1504604","Mocajuba",31.8159956932068,"2020-12-20"
"1504703","Moju",32.3698534092433,"2020-12-20"
"1505064","Novo Repartimento",30.4769959333466,"2020-12-20"
"1505205","Oeiras do Pará",31.8198759215219,"2020-12-20"
"1506351","Santa Bárbara do Pará",31.5934085845947,"2020-12-20"
"1507953","Tailândia",32.3057859016187,"2020-12-20"
"1508100","Tucuruí",30.7533664703369,"2020-12-20"
"1500107","Abaetetuba",31.3525608062744,"2020-12-13"
"1500800","Ananindeua",31.1583601633708,"2020-12-13"
"1501105","Bagre",32.0898495842429,"2020-12-13"
"1501204","Baião",32.0332686901093,"2020-12-13"
"1501303","Barcarena",31.0272108713786,"2020-12-13"
"1501402","Belém",30.3240451812744,"2020-12-13"
"1501501","Benevides",31.6466312408447,"2020-12-13"
"1501782","Breu Branco",31.6234034335974,"2020-12-13"
"1502103","Cametá",31.6243445078532,"2020-12-13"
"1503093","Goianésia do Pará",31.4986522279937,"2020-12-13"
"1503309","Igarapé-Miri",31.7576841990153,"2020-12-13"
"1503804","Jacundá",30.8520572662354,"2020-12-13"
"1504000","Limoeiro do Ajuru",31.1730381011963,"2020-12-13"
"1504422","Marituba",31.4658679962158,"2020-12-13"
"1504604","Mocajuba",31.916699886322,"2020-12-13"
"1504703","Moju",32.6338811793797,"2020-12-13"
"1505064","Novo Repartimento",30.8649366270236,"2020-12-13"
"1505205","Oeiras do Pará",32.1169102532523,"2020-12-13"
"1506351","Santa Bárbara do Pará",31.0909366607666,"2020-12-13"
"1507953","Tailândia",33.1794061371774,"2020-12-13"
"1508100","Tucuruí",30.741915596856,"2020-12-13"
"1500107","Abaetetuba",31.2696933746338,"2020-12-06"
"1500800","Ananindeua",31.7845910390218,"2020-12-06"
"1501105","Bagre",32.4184037937837,"2020-12-06"
"1501204","Baião",32.3723745942116,"2020-12-06"
"1501303","Barcarena",31.2479241689046,"2020-12-06"
"1501402","Belém",31.3575077056885,"2020-12-06"
"1501501","Benevides",31.986855506897,"2020-12-06"
"1501782","Breu Branco",32.4197509072044,"2020-12-06"
"1502103","Cametá",31.590349038442,"2020-12-06"
"1503093","Goianésia do Pará",32.0395811344015,"2020-12-06"
"1503309","Igarapé-Miri",31.803218460083,"2020-12-06"
"1503804","Jacundá",31.3205712636312,"2020-12-06"
"1504000","Limoeiro do Ajuru",31.0832767486572,"2020-12-06"
"1504422","Marituba",31.9019026756287,"2020-12-06"
"1504604","Mocajuba",32.2188186645508,"2020-12-06"
"1504703","Moju",32.5664459819525,"2020-12-06"
"1505064","Novo Repartimento",30.8828427539608,"2020-12-06"
"1505205","Oeiras do Pará",32.1117701530457,"2020-12-06"
"1506351","Santa Bárbara do Pará",31.8297367095947,"2020-12-06"
"1507953","Tailândia",32.4830810084487,"2020-12-06"
"1508100","Tucuruí",31.3098120159573,"2020-12-06"
"1500107","Abaetetuba",32.2716360092163,"2020-11-29"
"1500800","Ananindeua",31.7743670145671,"2020-11-29"
"1501105","Bagre",32.6526521794936,"2020-11-29"
"1501204","Baião",32.8881445527077,"2020-11-29"
"1501303","Barcarena",31.9368982315063,"2020-11-29"
"1501402","Belém",30.8162784576416,"2020-11-29"
"1501501","Benevides",32.1290817260742,"2020-11-29"
"1501782","Breu Branco",32.5833917097612,"2020-11-29"
"1502103","Cametá",32.4770725568136,"2020-11-29"
"1503093","Goianésia do Pará",32.4592423603453,"2020-11-29"
"1503309","Igarapé-Miri",32.6710781097412,"2020-11-29"
"1503804","Jacundá",31.3871096293132,"2020-11-29"
"1504000","Limoeiro do Ajuru",31.5475894927979,"2020-11-29"
"1504422","Marituba",32.0277333259583,"2020-11-29"
"1504604","Mocajuba",33.0972747802734,"2020-11-29"
"1504703","Moju",33.4136976859939,"2020-11-29"
"1505064","Novo Repartimento",31.5768863243785,"2020-11-29"
"1505205","Oeiras do Pará",32.5840914590018,"2020-11-29"
"1506351","Santa Bárbara do Pará",31.483118057251,"2020-11-29"
"1507953","Tailândia",33.2806976780747,"2020-11-29"
"1508100","Tucuruí",31.3777068456014,"2020-11-29"
"1500107","Abaetetuba",32.1167989730835,"2020-11-22"
"1500800","Ananindeua",31.6899560292562,"2020-11-22"
"1501105","Bagre",32.0581423815559,"2020-11-22"
"1501204","Baião",31.9748725891113,"2020-11-22"
"1501303","Barcarena",31.6468041737874,"2020-11-22"
"1501402","Belém",30.8314304351807,"2020-11-22"
"1501501","Benevides",31.908411026001,"2020-11-22"
"1501782","Breu Branco",32.0740589951024,"2020-11-22"
"1502103","Cametá",31.7426750659943,"2020-11-22"
"1503093","Goianésia do Pará",32.0174453011875,"2020-11-22"
"1503309","Igarapé-Miri",32.2688404083252,"2020-11-22"
"1503804","Jacundá",31.275159072876,"2020-11-22"
"1504000","Limoeiro do Ajuru",31.3971012115479,"2020-11-22"
"1504422","Marituba",31.8458194732666,"2020-11-22"
"1504604","Mocajuba",31.9851274490356,"2020-11-22"
"1504703","Moju",32.3113205869433,"2020-11-22"
"1505064","Novo Repartimento",31.2406664282326,"2020-11-22"
"1505205","Oeiras do Pará",31.9255262783595,"2020-11-22"
"1506351","Santa Bárbara do Pará",31.4460391998291,"2020-11-22"
"1507953","Tailândia",32.1803451884877,"2020-11-22"
"1508100","Tucuruí",31.2816393110487,"2020-11-22"
"1500107","Abaetetuba",32.2731098175049,"2020-11-15"
"1500800","Ananindeua",31.8151588439941,"2020-11-15"
"1501105","Bagre",32.4894998774809,"2020-11-15"
"1501204","Baião",32.9715995788574,"2020-11-15"
"1501303","Barcarena",31.9711796442668,"2020-11-15"
"1501402","Belém",30.9646854400635,"2020-11-15"
"1501501","Benevides",32.1033411026001,"2020-11-15"
"1501782","Breu Branco",32.4654901677912,"2020-11-15"
"1502103","Cametá",32.0887498060862,"2020-11-15"
"1503093","Goianésia do Pará",32.1752510070801,"2020-11-15"
"1503309","Igarapé-Miri",32.4020659128825,"2020-11-15"
"1503804","Jacundá",31.4696617126465,"2020-11-15"
"1504000","Limoeiro do Ajuru",31.5713382720947,"2020-11-15"
"1504422","Marituba",32.0326776504517,"2020-11-15"
"1504604","Mocajuba",32.8605690002441,"2020-11-15"
"1504703","Moju",32.9153641176895,"2020-11-15"
"1505064","Novo Repartimento",31.8785337742751,"2020-11-15"
"1505205","Oeiras do Pará",32.1962142671858,"2020-11-15"
"1506351","Santa Bárbara do Pará",31.438455581665,"2020-11-15"
"1507953","Tailândia",32.9592403065075,"2020-11-15"
"1508100","Tucuruí",32.0822040769789,"2020-11-15"
"1500107","Abaetetuba",33.2093490600586,"2020-11-08"
"1500800","Ananindeua",32.3330211639404,"2020-11-08"
"1501105","Bagre",32.8417721916648,"2020-11-08"
"1501204","Baião",32.7361698150635,"2020-11-08"
"1501303","Barcarena",32.680793762207,"2020-11-08"
"1501402","Belém",31.4043064117432,"2020-11-08"
"1501501","Benevides",32.6970748901367,"2020-11-08"
"1501782","Breu Branco",32.8734452796705,"2020-11-08"
"1502103","Cametá",32.8099428812663,"2020-11-08"
"1503093","Goianésia do Pará",32.8478829942901,"2020-11-08"
"1503309","Igarapé-Miri",33.510514831543,"2020-11-08"
"1503804","Jacundá",32.1775338490804,"2020-11-08"
"1504000","Limoeiro do Ajuru",32.4209762573242,"2020-11-08"
"1504422","Marituba",32.6264114379883,"2020-11-08"
"1504604","Mocajuba",33.005916595459,"2020-11-08"
"1504703","Moju",33.4198046402192,"2020-11-08"
"1505064","Novo Repartimento",32.3008189782864,"2020-11-08"
"1505205","Oeiras do Pará",32.760625566755,"2020-11-08"
"1506351","Santa Bárbara do Pará",31.7680606842041,"2020-11-08"
"1507953","Tailândia",33.3155783450965,"2020-11-08"
"1508100","Tucuruí",32.0014261669583,"2020-11-08"
"1500107","Abaetetuba",33.6449752807617,"2020-11-01"
"1500800","Ananindeua",33.1351140340169,"2020-11-01"
"1501105","Bagre",34.2050085628734,"2020-11-01"
"1501204","Baião",34.3889436721802,"2020-11-01"
