"","cd_mun","nm_mun","UF","temperature","year_month"
"1",1500107,"Abaetetuba","PA",32.2716360092163,"2020-12"
"2",1500800,"Ananindeua","PA",31.9100685119629,"2020-12"
"3",1501105,"Bagre","PA",32.6554077372831,"2020-12"
"4",1501204,"Baião","PA",32.8881445527077,"2020-12"
"5",1501303,"Barcarena","PA",31.9368982315063,"2020-12"
"6",1501402,"Belém","PA",31.3575077056885,"2020-12"
"7",1501501,"Benevides","PA",32.3547439575195,"2020-12"
"8",1501782,"Breu Branco","PA",32.6345918828791,"2020-12"
"9",1502103,"Cametá","PA",32.4770725568136,"2020-12"
"10",1503093,"Goianésia do Pará","PA",32.5417629110402,"2020-12"
"11",1503309,"Igarapé-Miri","PA",32.6710781097412,"2020-12"
"12",1503804,"Jacundá","PA",31.4418439229329,"2020-12"
"13",1504000,"Limoeiro do Ajuru","PA",31.5498020172119,"2020-12"
"14",1504422,"Marituba","PA",32.1799550056458,"2020-12"
"15",1504604,"Mocajuba","PA",33.0972747802734,"2020-12"
"16",1504703,"Moju","PA",33.4136976859939,"2020-12"
"17",1505064,"Novo Repartimento","PA",31.6032939538723,"2020-12"
"18",1505205,"Oeiras do Pará","PA",32.5865862710135,"2020-12"
"19",1506351,"Santa Bárbara do Pará","PA",31.8297367095947,"2020-12"
"20",1507953,"Tailândia","PA",33.3407747673266,"2020-12"
"21",1508100,"Tucuruí","PA",31.4084583918254,"2020-12"
"22",1500107,"Abaetetuba","PA",33.6449752807617,"2020-11"
"23",1500800,"Ananindeua","PA",33.1351140340169,"2020-11"
"24",1501105,"Bagre","PA",34.2050085628734,"2020-11"
"25",1501204,"Baião","PA",34.3889436721802,"2020-11"
"26",1501303,"Barcarena","PA",33.3346125284831,"2020-11"
"27",1501402,"Belém","PA",31.782265663147,"2020-11"
"28",1501501,"Benevides","PA",33.6962966918945,"2020-11"
"29",1501782,"Breu Branco","PA",34.1498336791992,"2020-11"
"30",1502103,"Cametá","PA",34.4734052022298,"2020-11"
"31",1503093,"Goianésia do Pará","PA",34.3197666365525,"2020-11"
"32",1503309,"Igarapé-Miri","PA",34.2455795288086,"2020-11"
"33",1503804,"Jacundá","PA",33.4727687835693,"2020-11"
"34",1504000,"Limoeiro do Ajuru","PA",34.0650619506836,"2020-11"
"35",1504422,"Marituba","PA",33.5381393432617,"2020-11"
"36",1504604,"Mocajuba","PA",34.625560760498,"2020-11"
"37",1504703,"Moju","PA",35.1065915604712,"2020-11"
"38",1505064,"Novo Repartimento","PA",33.0220590917076,"2020-11"
"39",1505205,"Oeiras do Pará","PA",34.3991067068917,"2020-11"
"40",1506351,"Santa Bárbara do Pará","PA",32.6833267211914,"2020-11"
"41",1507953,"Tailândia","PA",35.6651793971206,"2020-11"
"42",1508100,"Tucuruí","PA",33.3796090020074,"2020-11"
"43",1500107,"Abaetetuba","PA",34.1408920288086,"2020-10"
"44",1500800,"Ananindeua","PA",33.9841130574544,"2020-10"
"45",1501105,"Bagre","PA",35.5539555269129,"2020-10"
"46",1501204,"Baião","PA",36.1263790130615,"2020-10"
"47",1501303,"Barcarena","PA",34.0840123494466,"2020-10"
"48",1501402,"Belém","PA",32.771125793457,"2020-10"
"49",1501501,"Benevides","PA",34.7827682495117,"2020-10"
"50",1501782,"Breu Branco","PA",36.4034477002693,"2020-10"
"51",1502103,"Cametá","PA",35.1993192036947,"2020-10"
"52",1503093,"Goianésia do Pará","PA",36.3213329972892,"2020-10"
"53",1503309,"Igarapé-Miri","PA",34.8656723022461,"2020-10"
"54",1503804,"Jacundá","PA",35.2483810424805,"2020-10"
"55",1504000,"Limoeiro do Ajuru","PA",34.1865615844727,"2020-10"
"56",1504422,"Marituba","PA",34.5074462890625,"2020-10"
"57",1504604,"Mocajuba","PA",35.6884536743164,"2020-10"
"58",1504703,"Moju","PA",36.3944049888933,"2020-10"
"59",1505064,"Novo Repartimento","PA",35.5232854703578,"2020-10"
"60",1505205,"Oeiras do Pará","PA",35.3917966570173,"2020-10"
"61",1506351,"Santa Bárbara do Pará","PA",33.7395553588867,"2020-10"
"62",1507953,"Tailândia","PA",36.9502847844904,"2020-10"
"63",1508100,"Tucuruí","PA",35.506957160102,"2020-10"
"64",1500107,"Abaetetuba","PA",35.6407638549805,"2020-09"
"65",1500800,"Ananindeua","PA",35.1157964070638,"2020-09"
"66",1501105,"Bagre","PA",35.9824995153091,"2020-09"
"67",1501204,"Baião","PA",36.547981262207,"2020-09"
"68",1501303,"Barcarena","PA",35.4176305135091,"2020-09"
