"","cd_mun","nm_mun","UF","precipitation","year_month"
"1",1500107,"Abaetetuba","PA",12.5157957077026,"2020-12"
"2",1500800,"Ananindeua","PA",18.2003135681152,"2020-12"
"3",1501105,"Bagre","PA",21.3091049194336,"2020-12"
"4",1501204,"Baião","PA",23.6698150634766,"2020-12"
"5",1501303,"Barcarena","PA",13.3131523132324,"2020-12"
"6",1501402,"Belém","PA",13.0712566375732,"2020-12"
"7",1501501,"Benevides","PA",15.7948083877563,"2020-12"
"8",1501782,"Breu Branco","PA",19.6203231811523,"2020-12"
"9",1502103,"Cametá","PA",21.725700378418,"2020-12"
"10",1503093,"Goianésia do Pará","PA",19.6651210784912,"2020-12"
"11",1503309,"Igarapé-Miri","PA",19.9876441955566,"2020-12"
"12",1503804,"Jacundá","PA",19.6248035430908,"2020-12"
"13",1504000,"Limoeiro do Ajuru","PA",14.8630676269531,"2020-12"
"14",1504422,"Marituba","PA",18.2003135681152,"2020-12"
"15",1504604,"Mocajuba","PA",22.0079116821289,"2020-12"
"16",1504703,"Moju","PA",20.0503578186035,"2020-12"
"17",1505064,"Novo Repartimento","PA",22.1557350158691,"2020-12"
"18",1505205,"Oeiras do Pará","PA",23.9385871887207,"2020-12"
"19",1506351,"Santa Bárbara do Pará","PA",17.2103385925293,"2020-12"
"20",1507953,"Tailândia","PA",17.8374729156494,"2020-12"
"21",1508100,"Tucuruí","PA",18.5004425048828,"2020-12"
"22",1500107,"Abaetetuba","PA",52.6703186035156,"2020-11"
"23",1500800,"Ananindeua","PA",41.984489440918,"2020-11"
"24",1501105,"Bagre","PA",38.0292778015137,"2020-11"
"25",1501204,"Baião","PA",30.6905689239502,"2020-11"
"26",1501303,"Barcarena","PA",54.8012466430664,"2020-11"
"27",1501402,"Belém","PA",33.9961090087891,"2020-11"
"28",1501501,"Benevides","PA",39.2714538574219,"2020-11"
"29",1501782,"Breu Branco","PA",59.0631065368652,"2020-11"
"30",1502103,"Cametá","PA",24.4952850341797,"2020-11"
"31",1503093,"Goianésia do Pará","PA",81.780891418457,"2020-11"
"32",1503309,"Igarapé-Miri","PA",49.988468170166,"2020-11"
"33",1503804,"Jacundá","PA",86.6612243652344,"2020-11"
"34",1504000,"Limoeiro do Ajuru","PA",65.8976669311523,"2020-11"
"35",1504422,"Marituba","PA",41.984489440918,"2020-11"
"36",1504604,"Mocajuba","PA",25.0462093353271,"2020-11"
"37",1504703,"Moju","PA",66.0847702026367,"2020-11"
"38",1505064,"Novo Repartimento","PA",145.017486572266,"2020-11"
"39",1505205,"Oeiras do Pará","PA",21.9537620544434,"2020-11"
"40",1506351,"Santa Bárbara do Pará","PA",29.890172958374,"2020-11"
"41",1507953,"Tailândia","PA",73.5066452026367,"2020-11"
"42",1508100,"Tucuruí","PA",45.0405540466309,"2020-11"
"43",1500107,"Abaetetuba","PA",6.74100065231323,"2020-10"
"44",1500800,"Ananindeua","PA",5.68709850311279,"2020-10"
"45",1501105,"Bagre","PA",11.5531616210938,"2020-10"
"46",1501204,"Baião","PA",4.09630155563354,"2020-10"
"47",1501303,"Barcarena","PA",5.91908931732178,"2020-10"
"48",1501402,"Belém","PA",4.00350522994995,"2020-10"
"49",1501501,"Benevides","PA",5.36231088638306,"2020-10"
"50",1501782,"Breu Branco","PA",5.38882398605347,"2020-10"
"51",1502103,"Cametá","PA",6.60843467712402,"2020-10"
"52",1503093,"Goianésia do Pará","PA",7.05253219604492,"2020-10"
"53",1503309,"Igarapé-Miri","PA",6.29690361022949,"2020-10"
"54",1503804,"Jacundá","PA",6.51563835144043,"2020-10"
"55",1504000,"Limoeiro do Ajuru","PA",3.95047855377197,"2020-10"
"56",1504422,"Marituba","PA",5.68709850311279,"2020-10"
"57",1504604,"Mocajuba","PA",6.38307189941406,"2020-10"
"58",1504703,"Moju","PA",7.44360303878784,"2020-10"
"59",1505064,"Novo Repartimento","PA",13.2367544174194,"2020-10"
"60",1505205,"Oeiras do Pará","PA",9.49838161468506,"2020-10"
"61",1506351,"Santa Bárbara do Pará","PA",4.06978797912598,"2020-10"
"62",1507953,"Tailândia","PA",4.56028366088867,"2020-10"
"63",1508100,"Tucuruí","PA",5.52801895141602,"2020-10"
"64",1500107,"Abaetetuba","PA",4.130455493927,"2020-09"
"65",1500800,"Ananindeua","PA",7.17720174789429,"2020-09"
"66",1501105,"Bagre","PA",10.2001819610596,"2020-09"
"67",1501204,"Baião","PA",4.46792697906494,"2020-09"
"68",1501303,"Barcarena","PA",5.3567590713501,"2020-09"
"69",1501402,"Belém","PA",4.18274021148682,"2020-09"
"70",1501501,"Benevides","PA",7.02985525131226,"2020-09"
"71",1501782,"Breu Branco","PA",2.153160572052,"2020-09"
"72",1502103,"Cametá","PA",6.62108755111694,"2020-09"
"73",1503093,"Goianésia do Pará","PA",2.0961229801178,"2020-09"
"74",1503309,"Igarapé-Miri","PA",5.37101888656616,"2020-09"
"75",1503804,"Jacundá","PA",1.42118096351623,"2020-09"
"76",1504000,"Limoeiro do Ajuru","PA",4.24453067779541,"2020-09"
"77",1504422,"Marituba","PA",7.17720174789429,"2020-09"
"78",1504604,"Mocajuba","PA",5.04305362701416,"2020-09"
"79",1504703,"Moju","PA",4.55348300933838,"2020-09"
"80",1505064,"Novo Repartimento","PA",3.98786234855652,"2020-09"
"81",1505205,"Oeiras do Pará","PA",6.2075662612915,"2020-09"
"82",1506351,"Santa Bárbara do Pará","PA",5.03354740142822,"2020-09"
"83",1507953,"Tailândia","PA",2.91365885734558,"2020-09"
"84",1508100,"Tucuruí","PA",1.46871209144592,"2020-09"
"85",1500107,"Abaetetuba","PA",6.77395105361938,"2020-08"
"86",1500800,"Ananindeua","PA",3.28710675239563,"2020-08"
"87",1501105,"Bagre","PA",31.2332210540771,"2020-08"
"88",1501204,"Baião","PA",17.1602954864502,"2020-08"
"89",1501303,"Barcarena","PA",4.72521591186523,"2020-08"
"90",1501402,"Belém","PA",4.1202974319458,"2020-08"
"91",1501501,"Benevides","PA",2.48245024681091,"2020-08"
"92",1501782,"Breu Branco","PA",10.6888036727905,"2020-08"
"93",1502103,"Cametá","PA",16.6466846466064,"2020-08"
"94",1503093,"Goianésia do Pará","PA",10.2893295288086,"2020-08"
"95",1503309,"Igarapé-Miri","PA",9.61592864990234,"2020-08"
"96",1503804,"Jacundá","PA",8.17781925201416,"2020-08"
"97",1504000,"Limoeiro do Ajuru","PA",17.9763660430908,"2020-08"
"98",1504422,"Marituba","PA",3.13302373886108,"2020-08"
"99",1504604,"Mocajuba","PA",13.7647590637207,"2020-08"
"100",1504703,"Moju","PA",13.439474105835,"2020-08"
"101",1505064,"Novo Repartimento","PA",18.3301868438721,"2020-08"
"102",1505205,"Oeiras do Pará","PA",22.1194877624512,"2020-08"
"103",1506351,"Santa Bárbara do Pará","PA",3.52108478546143,"2020-08"
"104",1507953,"Tailândia","PA",5.66683530807495,"2020-08"
"105",1508100,"Tucuruí","PA",12.8859148025513,"2020-08"
"106",1500107,"Abaetetuba","PA",9.68215847015381,"2020-07"
"107",1500800,"Ananindeua","PA",12.4242897033691,"2020-07"
"108",1501105,"Bagre","PA",7.25473880767822,"2020-07"
"109",1501204,"Baião","PA",4.81584596633911,"2020-07"
"110",1501303,"Barcarena","PA",12.117039680481,"2020-07"
"111",1501402,"Belém","PA",12.6254501342773,"2020-07"
"112",1501501,"Benevides","PA",10.9943742752075,"2020-07"
"113",1501782,"Breu Branco","PA",4.28161191940308,"2020-07"
"114",1502103,"Cametá","PA",8.29223537445068,"2020-07"
"115",1503093,"Goianésia do Pará","PA",2.97312664985657,"2020-07"
"116",1503309,"Igarapé-Miri","PA",10.3749723434448,"2020-07"
"117",1503804,"Jacundá","PA",2.71762347221375,"2020-07"
"118",1504000,"Limoeiro do Ajuru","PA",8.80869960784912,"2020-07"
"119",1504422,"Marituba","PA",12.4035129547119,"2020-07"
"120",1504604,"Mocajuba","PA",8.93486499786377,"2020-07"
"121",1504703,"Moju","PA",9.60846328735352,"2020-07"
"122",1505064,"Novo Repartimento","PA",2.09822225570679,"2020-07"
"123",1505205,"Oeiras do Pará","PA",8.51754665374756,"2020-07"
"124",1506351,"Santa Bárbara do Pará","PA",11.275559425354,"2020-07"
"125",1507953,"Tailândia","PA",6.12433099746704,"2020-07"
"126",1508100,"Tucuruí","PA",3.56930041313171,"2020-07"
"127",1500107,"Abaetetuba","PA",45.7318954467773,"2020-06"
"128",1500800,"Ananindeua","PA",89.6360092163086,"2020-06"
"129",1501105,"Bagre","PA",35.6520614624023,"2020-06"
"130",1501204,"Baião","PA",16.6078205108643,"2020-06"
"131",1501303,"Barcarena","PA",62.0486602783203,"2020-06"
"132",1501402,"Belém","PA",92.4463806152344,"2020-06"
"133",1501501,"Benevides","PA",83.0014724731445,"2020-06"
"134",1501782,"Breu Branco","PA",13.2047243118286,"2020-06"
"135",1502103,"Cametá","PA",29.2485961914062,"2020-06"
"136",1503093,"Goianésia do Pará","PA",14.1145801544189,"2020-06"
"137",1503309,"Igarapé-Miri","PA",32.2900352478027,"2020-06"
"138",1503804,"Jacundá","PA",13.8900709152222,"2020-06"
"139",1504000,"Limoeiro do Ajuru","PA",31.9007453918457,"2020-06"
"140",1504422,"Marituba","PA",83.0014724731445,"2020-06"
"141",1504604,"Mocajuba","PA",17.0154838562012,"2020-06"
"142",1504703,"Moju","PA",53.2241172790527,"2020-06"
"143",1505064,"Novo Repartimento","PA",14.1854782104492,"2020-06"
"144",1505205,"Oeiras do Pará","PA",35.7499008178711,"2020-06"
"145",1506351,"Santa Bárbara do Pará","PA",90.8246917724609,"2020-06"
"146",1507953,"Tailândia","PA",17.3167991638184,"2020-06"
"147",1508100,"Tucuruí","PA",13.3701524734497,"2020-06"
"148",1500107,"Abaetetuba","PA",24.7065544128418,"2020-05"
"149",1500800,"Ananindeua","PA",22.0806369781494,"2020-05"
"150",1501105,"Bagre","PA",41.0936584472656,"2020-05"
"151",1501204,"Baião","PA",45.554141998291,"2020-05"
"152",1501303,"Barcarena","PA",18.884370803833,"2020-05"
"153",1501402,"Belém","PA",20.8857021331787,"2020-05"
"154",1501501,"Benevides","PA",23.9353523254395,"2020-05"
"155",1501782,"Breu Branco","PA",50.2239151000977,"2020-05"
"156",1502103,"Cametá","PA",38.2720565795898,"2020-05"
"157",1503093,"Goianésia do Pará","PA",41.7200889587402,"2020-05"
"158",1503309,"Igarapé-Miri","PA",32.3121643066406,"2020-05"
"159",1503804,"Jacundá","PA",26.4425144195557,"2020-05"
"160",1504000,"Limoeiro do Ajuru","PA",29.3763465881348,"2020-05"
"161",1504422,"Marituba","PA",23.9353523254395,"2020-05"
"162",1504604,"Mocajuba","PA",30.8870868682861,"2020-05"
"163",1504703,"Moju","PA",60.8537063598633,"2020-05"
"164",1505064,"Novo Repartimento","PA",42.6950950622559,"2020-05"
"165",1505205,"Oeiras do Pará","PA",30.1576747894287,"2020-05"
"166",1506351,"Santa Bárbara do Pará","PA",24.8663749694824,"2020-05"
"167",1507953,"Tailândia","PA",61.924015045166,"2020-05"
"168",1508100,"Tucuruí","PA",31.1562767028809,"2020-05"
"169",1500107,"Abaetetuba","PA",50.0636711120605,"2020-04"
"170",1500800,"Ananindeua","PA",45.1552085876465,"2020-04"
"171",1501105,"Bagre","PA",54.4013786315918,"2020-04"
"172",1501204,"Baião","PA",143.192718505859,"2020-04"
"173",1501303,"Barcarena","PA",45.1244735717773,"2020-04"
"174",1501402,"Belém","PA",40.562858581543,"2020-04"
"175",1501501,"Benevides","PA",46.0727996826172,"2020-04"
"176",1501782,"Breu Branco","PA",159.630355834961,"2020-04"
"177",1502103,"Cametá","PA",72.7444458007812,"2020-04"
"178",1503093,"Goianésia do Pará","PA",170.386825561523,"2020-04"
"179",1503309,"Igarapé-Miri","PA",52.0086135864258,"2020-04"
"180",1503804,"Jacundá","PA",82.7413787841797,"2020-04"
"181",1504000,"Limoeiro do Ajuru","PA",45.7962074279785,"2020-04"
"182",1504422,"Marituba","PA",46.0727996826172,"2020-04"
"183",1504604,"Mocajuba","PA",79.7734680175781,"2020-04"
"184",1504703,"Moju","PA",94.9817962646484,"2020-04"
"185",1505064,"Novo Repartimento","PA",79.5890731811523,"2020-04"
"186",1505205,"Oeiras do Pará","PA",70.48779296875,"2020-04"
"187",1506351,"Santa Bárbara do Pará","PA",44.5405540466309,"2020-04"
"188",1507953,"Tailândia","PA",207.99055480957,"2020-04"
"189",1508100,"Tucuruí","PA",146.125503540039,"2020-04"
"190",1500107,"Abaetetuba","PA",135.993515014648,"2020-03"
"191",1500800,"Ananindeua","PA",90.7762145996094,"2020-03"
"192",1501105,"Bagre","PA",268.746887207031,"2020-03"
"193",1501204,"Baião","PA",111.464584350586,"2020-03"
"194",1501303,"Barcarena","PA",104.839332580566,"2020-03"
"195",1501402,"Belém","PA",83.6917419433594,"2020-03"
"196",1501501,"Benevides","PA",87.2099685668945,"2020-03"
"197",1501782,"Breu Branco","PA",124.264762878418,"2020-03"
"198",1502103,"Cametá","PA",212.313232421875,"2020-03"
"199",1503093,"Goianésia do Pará","PA",127.458335876465,"2020-03"
"200",1503309,"Igarapé-Miri","PA",168.602142333984,"2020-03"
"201",1503804,"Jacundá","PA",72.7482986450195,"2020-03"
"202",1504000,"Limoeiro do Ajuru","PA",302.090484619141,"2020-03"
"203",1504422,"Marituba","PA",90.7762145996094,"2020-03"
"204",1504604,"Mocajuba","PA",117.965599060059,"2020-03"
"205",1504703,"Moju","PA",117.116744995117,"2020-03"
"206",1505064,"Novo Repartimento","PA",159.740875244141,"2020-03"
"207",1505205,"Oeiras do Pará","PA",284.186798095703,"2020-03"
"208",1506351,"Santa Bárbara do Pará","PA",84.2958984375,"2020-03"
"209",1507953,"Tailândia","PA",117.064979553223,"2020-03"
"210",1508100,"Tucuruí","PA",69.409797668457,"2020-03"
"211",1500107,"Abaetetuba","PA",90.4025115966797,"2020-02"
"212",1500800,"Ananindeua","PA",84.603645324707,"2020-02"
"213",1501105,"Bagre","PA",124.896293640137,"2020-02"
"214",1501204,"Baião","PA",151.021575927734,"2020-02"
"215",1501303,"Barcarena","PA",76.040901184082,"2020-02"
"216",1501402,"Belém","PA",108.891731262207,"2020-02"
"217",1501501,"Benevides","PA",61.3231735229492,"2020-02"
"218",1501782,"Breu Branco","PA",95.5255889892578,"2020-02"
"219",1502103,"Cametá","PA",73.4388885498047,"2020-02"
"220",1503093,"Goianésia do Pará","PA",95.9059829711914,"2020-02"
"221",1503309,"Igarapé-Miri","PA",80.5003280639648,"2020-02"
"222",1503804,"Jacundá","PA",47.7587509155273,"2020-02"
"223",1504000,"Limoeiro do Ajuru","PA",111.760818481445,"2020-02"
"224",1504422,"Marituba","PA",70.925910949707,"2020-02"
"225",1504604,"Mocajuba","PA",44.5376052856445,"2020-02"
"226",1504703,"Moju","PA",147.70735168457,"2020-02"
"227",1505064,"Novo Repartimento","PA",162.712387084961,"2020-02"
"228",1505205,"Oeiras do Pará","PA",138.739944458008,"2020-02"
"229",1506351,"Santa Bárbara do Pará","PA",90.2892074584961,"2020-02"
"230",1507953,"Tailândia","PA",68.1782302856445,"2020-02"
"231",1508100,"Tucuruí","PA",137.865859985352,"2020-02"
"232",1500107,"Abaetetuba","PA",26.8820915222168,"2020-01"
"233",1500800,"Ananindeua","PA",33.3592872619629,"2020-01"
"234",1501105,"Bagre","PA",146.079696655273,"2020-01"
"235",1501204,"Baião","PA",36.2434349060059,"2020-01"
"236",1501303,"Barcarena","PA",26.3549194335938,"2020-01"
"237",1501402,"Belém","PA",42.4382133483887,"2020-01"
"238",1501501,"Benevides","PA",26.6693572998047,"2020-01"
"239",1501782,"Breu Branco","PA",71.4235610961914,"2020-01"
"240",1502103,"Cametá","PA",51.0545272827148,"2020-01"
"241",1503093,"Goianésia do Pará","PA",89.2395629882812,"2020-01"
"242",1503309,"Igarapé-Miri","PA",27.6799564361572,"2020-01"
"243",1503804,"Jacundá","PA",78.0074157714844,"2020-01"
"244",1504000,"Limoeiro do Ajuru","PA",70.4050827026367,"2020-01"
"245",1504422,"Marituba","PA",27.9487934112549,"2020-01"
"246",1504604,"Mocajuba","PA",28.6318798065186,"2020-01"
"247",1504703,"Moju","PA",50.7979125976562,"2020-01"
"248",1505064,"Novo Repartimento","PA",171.635223388672,"2020-01"
"249",1505205,"Oeiras do Pará","PA",130.487930297852,"2020-01"
"250",1506351,"Santa Bárbara do Pará","PA",36.1060943603516,"2020-01"
"251",1507953,"Tailândia","PA",31.4148330688477,"2020-01"
"252",1508100,"Tucuruí","PA",101.343444824219,"2020-01"
