"","cd_mun","nm_mun","UF","precipitation","year_month"
"1",1500107,"Abaetetuba","PA",20.3365154266357,"2021-12"
"2",1500800,"Ananindeua","PA",16.7839870452881,"2021-12"
"3",1501105,"Bagre","PA",20.3169422149658,"2021-12"
"4",1501204,"Baião","PA",63.8819046020508,"2021-12"
"5",1501303,"Barcarena","PA",19.8765449523926,"2021-12"
"6",1501402,"Belém","PA",16.5050678253174,"2021-12"
"7",1501501,"Benevides","PA",13.5201616287231,"2021-12"
"8",1501782,"Breu Branco","PA",103.336502075195,"2021-12"
"9",1502103,"Cametá","PA",22.1763916015625,"2021-12"
"10",1503093,"Goianésia do Pará","PA",119.132049560547,"2021-12"
"11",1503309,"Igarapé-Miri","PA",24.4224128723145,"2021-12"
"12",1503804,"Jacundá","PA",96.8235397338867,"2021-12"
"13",1504000,"Limoeiro do Ajuru","PA",19.4948692321777,"2021-12"
"14",1504422,"Marituba","PA",15.2523860931396,"2021-12"
"15",1504604,"Mocajuba","PA",25.0879001617432,"2021-12"
"16",1504703,"Moju","PA",68.1733169555664,"2021-12"
"17",1505064,"Novo Repartimento","PA",98.0664367675781,"2021-12"
"18",1505205,"Oeiras do Pará","PA",20.3707675933838,"2021-12"
"19",1506351,"Santa Bárbara do Pará","PA",16.2750835418701,"2021-12"
"20",1507953,"Tailândia","PA",63.8378715515137,"2021-12"
"21",1508100,"Tucuruí","PA",89.3368072509766,"2021-12"
"22",1500107,"Abaetetuba","PA",19.2266540527344,"2021-11"
"23",1500800,"Ananindeua","PA",26.8129272460938,"2021-11"
"24",1501105,"Bagre","PA",72.3750839233398,"2021-11"
"25",1501204,"Baião","PA",48.7585029602051,"2021-11"
"26",1501303,"Barcarena","PA",24.6402187347412,"2021-11"
"27",1501402,"Belém","PA",22.6738567352295,"2021-11"
"28",1501501,"Benevides","PA",27.1204242706299,"2021-11"
"29",1501782,"Breu Branco","PA",39.4243507385254,"2021-11"
"30",1502103,"Cametá","PA",43.2154655456543,"2021-11"
"31",1503093,"Goianésia do Pará","PA",105.232749938965,"2021-11"
"32",1503309,"Igarapé-Miri","PA",35.4835357666016,"2021-11"
"33",1503804,"Jacundá","PA",59.3711967468262,"2021-11"
"34",1504000,"Limoeiro do Ajuru","PA",30.0456943511963,"2021-11"
"35",1504422,"Marituba","PA",27.1204242706299,"2021-11"
"36",1504604,"Mocajuba","PA",46.3673095703125,"2021-11"
"37",1504703,"Moju","PA",50.8138771057129,"2021-11"
"38",1505064,"Novo Repartimento","PA",67.1193084716797,"2021-11"
"39",1505205,"Oeiras do Pará","PA",76.4858245849609,"2021-11"
"40",1506351,"Santa Bárbara do Pará","PA",23.8714771270752,"2021-11"
"41",1507953,"Tailândia","PA",74.952392578125,"2021-11"
"42",1508100,"Tucuruí","PA",44.4980506896973,"2021-11"
"43",1500107,"Abaetetuba","PA",21.1865425109863,"2021-10"
"44",1500800,"Ananindeua","PA",16.9571704864502,"2021-10"
"45",1501105,"Bagre","PA",20.3441963195801,"2021-10"
"46",1501204,"Baião","PA",25.9010314941406,"2021-10"
"47",1501303,"Barcarena","PA",9.76856517791748,"2021-10"
"48",1501402,"Belém","PA",13.8920907974243,"2021-10"
"49",1501501,"Benevides","PA",16.9307098388672,"2021-10"
"50",1501782,"Breu Branco","PA",85.5003051757812,"2021-10"
"51",1502103,"Cametá","PA",23.0917434692383,"2021-10"
"52",1503093,"Goianésia do Pará","PA",97.6106796264648,"2021-10"
"53",1503309,"Igarapé-Miri","PA",26.8183498382568,"2021-10"
"54",1503804,"Jacundá","PA",63.7272071838379,"2021-10"
"55",1504000,"Limoeiro do Ajuru","PA",21.0851078033447,"2021-10"
"56",1504422,"Marituba","PA",16.9307098388672,"2021-10"
"57",1504604,"Mocajuba","PA",14.9814071655273,"2021-10"
"58",1504703,"Moju","PA",31.735710144043,"2021-10"
"59",1505064,"Novo Repartimento","PA",59.2993812561035,"2021-10"
